row_name	Sample_126043	Sample_126044	Sample_126045	Sample_126046	Sample_126048	Sample_126049	Sample_126050	Sample_126051	Sample_126052	Sample_126053	Sample_126054	Sample_126055	Sample_126056	Sample_126057	Sample_126058	Sample_126059	Sample_126065	Sample_126066	Sample_126067	Sample_126068	Sample_126069	Sample_126070	Sample_127119	Sample_127120	Sample_127121
ENSRNOG00000060961	47	25	32	33	19	16	12	54	55	61	40	42	24	76	24	12	6	73	179	124	120	137	138	92	143
ENSRNOG00000027109	7	5	11	13	8	9	3	11	19	28	11	14	6	17	8	1	0	16	10	30	15	21	14	10	21
ENSRNOG00000017208	532	413	438	400	342	306	100	1009	929	974	661	540	535	1278	299	217	91	1191	2094	1271	2126	2145	2615	1818	2020
ENSRNOG00000017382	410	332	232	233	182	162	59	778	546	428	386	328	320	735	199	140	41	872	1160	585	1014	1132	1071	1042	918
ENSRNOG00000042940	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSRNOG00000017460	314	219	237	208	187	126	60	531	437	453	329	277	257	696	144	132	24	528	1154	643	940	1209	1305	1017	728
ENSRNOG00000005426	168	103	134	97	80	65	32	262	238	198	165	142	130	349	78	56	18	316	425	382	346	427	519	399	352
ENSRNOG00000017600	904	761	685	572	471	423	144	1581	1313	1129	960	888	833	1867	449	314	107	1816	2661	1757	2095	2481	2700	2011	2011
ENSRNOG00000060294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032254	1198	1195	608	516	471	355	141	1657	1327	961	990	966	979	1721	544	321	84	2398	2304	1568	1834	2268	2443	1831	1869
ENSRNOG00000030654	714	584	629	548	419	366	136	1306	1229	1163	830	691	669	1674	382	312	88	1500	2671	1764	2508	2748	3063	2393	2122
ENSRNOG00000018577	128	105	86	52	69	47	22	188	178	170	123	135	132	238	62	42	7	284	357	219	342	472	507	368	314
ENSRNOG00000018671	477	355	443	304	290	266	96	789	761	823	561	430	453	1087	230	158	57	846	1781	1172	1589	1901	2289	1938	1481
ENSRNOG00000038477	0	0	0	0	1	0	0	1	0	0	1	0	3	1	1	5	0	0	2	0	0	3	5	0	2
ENSRNOG00000018689	327	283	256	239	163	136	43	473	557	486	376	370	239	500	179	125	30	647	814	644	810	935	847	616	518
ENSRNOG00000056848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053404	3	4	1	3	0	2	2	2	0	2	3	1	4	2	2	4	0	3	7	8	0	2	12	5	5
ENSRNOG00000054008	7198	6329	5231	4073	3571	2861	1147	11301	10140	9500	8162	7100	6095	12564	4076	2340	706	14807	18997	14390	16516	18590	19667	15869	13983
ENSRNOG00000018812	119	116	66	60	45	40	16	166	162	151	86	115	96	181	34	61	5	180	281	222	263	307	453	327	293
ENSRNOG00000059726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018816	755	631	554	432	356	282	137	1230	994	1251	726	791	608	1318	371	256	66	1366	3031	1434	2494	2892	3461	2504	2264
ENSRNOG00000054468	486	384	441	346	295	245	80	861	733	679	565	491	482	1096	240	186	63	934	1543	1094	1238	1541	1831	1541	1258
ENSRNOG00000018898	578	469	355	336	297	199	102	884	826	715	620	526	520	1064	347	193	63	1110	1589	1100	1392	1707	1829	1406	1225
ENSRNOG00000019136	241	233	203	171	151	108	63	605	355	398	303	257	254	613	130	104	39	588	1060	514	944	917	1070	870	710
ENSRNOG00000038459	69	49	55	60	43	37	14	165	163	130	83	50	63	164	36	29	7	129	284	167	254	258	312	217	251
ENSRNOG00000019317	39	116	63	45	30	56	17	102	93	128	41	60	72	183	34	47	7	84	182	238	472	132	410	174	457
ENSRNOG00000019355	2	2	3	1	3	0	2	3	1	4	0	2	7	6	1	1	1	4	4	10	10	3	15	4	4
ENSRNOG00000019374	677	569	393	340	299	213	87	1047	845	786	640	536	619	1126	327	234	58	1274	1861	1125	1652	1922	2136	1725	1299
ENSRNOG00000016173	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019500	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	1	0	0	0	2	2	0	5	2	4
ENSRNOG00000019579	257	192	209	136	139	127	48	479	388	363	297	237	234	486	134	100	18	535	853	528	654	837	894	665	635
ENSRNOG00000058712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030126	760	643	472	432	336	236	107	1190	966	864	723	693	708	1160	359	261	74	1646	1888	1376	1671	2025	2193	2110	1558
ENSRNOG00000055900	13	7	4	10	4	9	0	13	12	17	11	4	2	21	8	2	2	37	28	22	14	24	35	34	28
ENSRNOG00000019677	143	95	85	51	36	27	11	166	181	123	130	99	127	185	55	39	12	243	290	185	228	360	356	277	221
ENSRNOG00000007442	2277	1959	1211	953	867	799	266	3104	2502	2532	2003	1832	2011	3261	1142	757	194	4472	6541	3573	5570	5694	6981	5354	4400
ENSRNOG00000007687	5795	4503	3862	2829	2572	1979	621	8835	6797	6488	5960	4543	5098	9537	2437	1653	618	11543	20800	9507	16080	16994	15225	11815	9071
ENSRNOG00000008074	3	6	7	6	3	4	1	9	11	5	5	5	2	8	2	0	0	14	33	12	30	34	27	22	23
ENSRNOG00000008219	22	35	7	14	8	7	1	38	32	30	24	24	20	39	13	7	1	60	55	31	55	70	44	29	39
ENSRNOG00000041609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
ENSRNOG00000008312	55	218	28	70	85	34	16	546	178	113	261	177	169	340	40	76	13	408	916	138	583	561	138	112	106
ENSRNOG00000048924	262	304	121	83	113	42	19	519	191	113	189	207	249	346	99	122	12	397	728	283	491	587	744	318	237
ENSRNOG00000050714	1915	1195	1406	979	849	687	328	2493	2776	2350	2113	1574	1363	2616	925	491	157	3204	4679	3704	4273	5104	4562	3434	2931
ENSRNOG00000060681	9	6	4	10	2	0	0	3	4	1	10	3	1	2	2	2	0	10	11	11	10	21	16	10	6
ENSRNOG00000008400	175	197	112	109	95	56	24	385	240	229	234	202	171	316	103	76	18	456	664	298	531	628	578	392	349
ENSRNOG00000008530	662	525	639	545	467	363	144	1241	1251	1261	913	674	569	1514	422	266	86	1116	2366	1807	2005	2444	3064	2344	1862
ENSRNOG00000008680	177	210	167	164	122	70	36	710	353	315	448	312	234	484	111	144	34	634	1224	556	945	1357	916	609	275
ENSRNOG00000029377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ENSRNOG00000008737	4	4	14	11	2	1	1	14	19	14	18	4	4	15	4	5	0	28	26	33	26	31	22	13	2
ENSRNOG00000041296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ENSRNOG00000055825	2	2	1	0	2	0	0	1	4	1	1	1	2	2	0	0	1	2	6	1	0	3	1	3	4
ENSRNOG00000049624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000026238	4357	3223	2992	2445	2130	1668	716	6554	5984	5790	4643	4120	3624	7389	2245	1407	514	7367	12066	8180	9759	12357	13113	10972	9041
ENSRNOG00000051681	15	11	13	6	7	11	4	32	16	19	13	21	15	23	4	5	0	40	26	39	24	33	41	35	31
ENSRNOG00000033608	288	296	160	134	125	73	30	449	264	281	267	246	231	446	115	93	23	616	719	385	623	664	768	565	466
ENSRNOG00000009029	11442	9586	6953	6288	5139	3913	1598	17480	14869	10773	12285	10883	9697	20669	6101	3903	1220	22330	24736	21712	19910	21884	25049	24457	18056
